Time (us),Voltage (V)
1655,30.69972909
1655.5,30.6390377
1656,30.67949863
1656.5,30.6390377
1657,30.608692
1657.5,30.55811584
1658,30.56823107
1658.5,30.53788538
1659,30.53788538
1659.5,30.48730922
1660,30.46707875
1660.5,30.46707875
1661,30.43673306
1661.5,30.41650259
1662,30.37604167
1662.5,30.3861569
1663,30.36592643
1663.5,30.30523504
1664,30.31535027
1664.5,30.30523504
1665,30.29511981
1665.5,30.20408272
1666,30.27488935
1666.5,30.26477411
1667,30.20408272
1667.5,30.24454365
1668,30.19396749
1668.5,30.18385226
1669,30.17373703
1669.5,30.16362179
1670,30.11304563
1670.5,30.14339133
1671,30.11304563
1671.5,30.12316087
1672,30.09281517
1672.5,30.11304563
1673,30.09281517
1673.5,30.08269994
1674,30.07258471
1674.5,30.05235424
1675,30.04223901
1675.5,30.04223901
1676,30.00177808
1676.5,30.00177808
1677,30.00177808
1677.5,29.97143239
1678,29.95120192
1678.5,29.96131716
1679,29.95120192
1679.5,29.910741
1680,29.95120192
1680.5,29.90062576
1681,29.94108669
1681.5,29.93097146
1682,29.90062576
1682.5,29.89051053
1683,29.89051053
1683.5,29.87028007
1684,29.8500496
1684.5,29.86016484
1685,29.82981914
1685.5,29.81970391
1686,29.80958868
1686.5,29.39486416
1687,26.97732372
1687.5,23.26503358
1688,21.24198718
1688.5,20.47322955
1689,21.29256334
1689.5,21.30267857
1690,21.21164148
1690.5,21.24198718
1691,21.17118056
1691.5,21.18129579
1692,21.20152625
1692.5,21.20152625
1693,21.20152625
1693.5,21.17118056
1694,21.22175672
1694.5,21.19141102
1695,21.24198718
1695.5,21.19141102
1696,21.21164148
1696.5,21.22175672
1697,21.23187195
1697.5,21.21164148
1698,21.20152625
1698.5,21.23187195
1699,21.21164148
1699.5,21.20152625
1700,21.19141102
1700.5,21.24198718
1701,21.20152625
1701.5,21.19141102
1702,21.22175672
1702.5,21.21164148
1703,21.22175672
1703.5,21.21164148
1704,21.21164148
1704.5,21.20152625
1705,21.20152625
1705.5,21.20152625
1706,21.20152625
1706.5,21.17118056
1707,21.08014347
1707.5,21.15095009
1708,21.15095009
1708.5,21.15095009
1709,21.13071963
1709.5,21.15095009
1710,21.14083486
1710.5,21.14083486
1711,21.1206044
1711.5,21.18129579
1712,21.13071963
1712.5,21.14083486
1713,21.13071963
1713.5,21.1206044
1714,21.1206044
1714.5,21.11048916
1715,21.0902587
1715.5,21.08014347
1716,21.0902587
1716.5,21.0902587
1717,21.0902587
1717.5,21.07002824
1718,21.059913
1718.5,21.10037393
1719,21.07002824
1719.5,21.04979777
1720,21.059913
1720.5,21.04979777
1721,21.03968254
1721.5,21.03968254
1722,21.03968254
1722.5,21.01945208
1723,21.01945208
1723.5,21.00933684
1724,20.99922161
1724.5,21.01945208
1725,21.00933684
1725.5,21.01945208
1726,20.99922161
1726.5,20.99922161
1727,21.13071963
1727.5,23.63929716
1728,26.38052503
1728.5,28.46426282
1729,29.97143239
1729.5,30.90203373
1730,31.45837149
1730.5,32.52047085
1731,32.58116224
1731.5,33.11726954
1732,33.40049603
1732.5,33.6736073
1733,33.82533578
1733.5,34.08833181
1734,34.26029075
1734.5,34.38167353
1735,34.52328678
1735.5,34.63455433
1736,34.70536096
1736.5,34.84697421
1737,34.80651328
1737.5,34.84697421
1738,34.8773199
1738.5,34.86720467
1739,34.83685897
1739.5,34.77616758
1740,34.81662851
1740.5,34.71547619
1741,34.71547619
1741.5,34.67501526
1742,34.59409341
1742.5,34.54351725
1743,34.51317155
1743.5,34.42213446
